,Unnamed: 0,HomeTeam,AwayTeam,Season,Round,Result,TrueForecast,CalculatedForecast,ELO_Rating_K,Clusters,InProbability,OutProbability,RPS,HomeRating,AwayRating,Home_elo_rating,Away_elo_rating,TrueDiff,ELODiff,RatingError,HomeDiff,AwayDiff,TotalDiff,ClusterHome,ClusterAway,Init_Rounds,Split_Rounds
27874122,27874122,21,81,0,148,home,0.81-0.13-0.07,0.79-0.14-0.08,15,10,1.0,1.0,0.02539978065641386,1149.3147421234723,862.9470872987001,1163.1824859046806,894.8488671664053,286.3676548247722,268.3336187382753,18.03403608649694,-13.867743781208219,-31.90177986770516,45.76952364891338,1,1,79,198
27874142,27874142,11,91,0,148,away,0.48-0.28-0.25,0.39-0.29-0.32,15,10,1.0,1.0,0.30809590245729435,1104.6099713600684,1071.0698833108204,1051.1041390416374,1074.9599732880845,33.54008804924797,-23.855834246447102,9.684253802800868,53.505832318430976,-3.890089977264097,57.39592229569507,1,1,79,198
27874561,27874561,91,1,0,153,home,0.36-0.29-0.35,0.39-0.29-0.32,15,10,1.0,1.0,0.23868939306866965,1075.1607084280645,1120.4565146088664,1085.3156322767827,1110.9242578624169,-45.29580618080195,-25.608625585634172,19.687180595167774,-10.154923848718227,9.532256746449548,19.687180595167774,1,1,79,198
27874581,27874581,81,11,0,153,away,0.14-0.21-0.64,0.23-0.27-0.51,15,10,1.0,1.0,0.14730313468442358,861.000413879348,1108.8939706659094,889.8308610294633,1044.3746843775552,-247.89355678656136,-154.5438233480919,93.34973343846946,-28.830447150115333,64.51928628835412,93.34973343846946,1,1,79,198
27874601,27874601,71,21,0,153,away,0.34-0.29-0.37,0.23-0.27-0.51,15,10,1.0,1.0,0.14646565649550386,1067.5535554378087,1128.2803006887405,1004.5177550347156,1159.9194558854304,-60.7267452509318,-155.40170085071475,94.67495559978295,63.03580040309305,-31.6391551966899,94.67495559978295,1,1,79,198
27874621,27874621,61,31,0,153,away,0.30-0.29-0.41,0.23-0.27-0.50,15,10,1.0,1.0,0.1539870858890707,1082.0154625592102,1172.0231394529287,1010.1092923055487,1157.9162256416714,-90.00767689371855,-147.8069333361227,57.79925644240416,71.90617025366146,14.1069138112573,86.01308406491876,1,1,79,198
27874641,27874641,51,41,0,153,draw,0.41-0.29-0.30,0.41-0.29-0.30,15,10,1.0,1.0,0.13046147098142788,921.9244375283839,933.4995968508864,965.5070482814664,973.0071907653081,-11.575159322502486,-7.500142483841728,4.075016838660758,-43.58261075308246,-39.507593914421705,83.09020466750417,1,1,79,198
27874742,27874742,101,91,0,154,away,0.23-0.27-0.51,0.24-0.27-0.48,15,10,1.0,1.0,0.1626322566465612,917.959058807682,1071.4229830410864,952.287975979812,1091.6509989253484,-153.46392423340433,-139.3630229455364,14.100901287867941,-34.32891717212999,-20.22801588426205,54.55693305639204,1,1,79,198
27875070,27875070,31,51,0,158,home,0.80-0.13-0.07,0.73-0.17-0.10,15,10,1.0,1.0,0.0419144671113949,1188.6173559061892,903.2494734351843,1164.1414586676378,949.5463655756532,285.3678824710049,214.5950930919846,70.77278937902031,24.475897238551397,-46.29689214046891,70.77278937902031,1,1,79,198
27875082,27875082,21,61,0,158,draw,0.49-0.27-0.24,0.65-0.21-0.14,15,10,1.0,1.0,0.21835232597043347,1118.1896478073718,1077.6988333150737,1161.8821679598504,1012.0669044849901,40.490814492298114,149.81526347486033,109.32444898256222,-43.692520152478664,65.63192883008355,109.32444898256222,1,1,79,198
27875102,27875102,11,71,0,158,away,0.52-0.26-0.22,0.53-0.26-0.21,15,10,1.0,1.0,0.4519498371739436,1117.2206507117585,1053.6531025605195,1057.7810790847902,987.7082855261966,63.56754815123895,70.07279355859362,6.505245407354664,59.439571626968245,65.94481703432291,125.38438866129115,1,1,79,198
27875122,27875122,1,81,0,158,home,0.81-0.13-0.07,0.75-0.16-0.09,15,10,1.0,1.0,0.03583982162968062,1142.1049232016728,852.8265841120361,1102.340074022232,870.5405208466431,289.2783390896367,231.79955317558904,57.47878591404765,39.764849179440716,-17.713936734606932,57.47878591404765,1,1,79,198
27875162,27875162,81,101,0,159,away,0.31-0.29-0.40,0.32-0.29-0.39,15,10,1.0,1.0,0.24032875157647204,856.2114417381388,937.980546013931,868.4033568486278,941.5286823850478,-81.76910427579219,-73.12532553641995,8.643778739372237,-12.191915110489049,-3.5481363711168115,15.74005148160586,1,1,79,198
27875182,27875182,91,111,0,159,home,0.73-0.17-0.10,0.79-0.13-0.07,15,10,1.0,1.0,0.02417688490653229,1057.5441530894257,842.9448521953212,1101.3244330564683,827.8834959482604,214.59930089410443,273.4409371082079,58.84163621410346,-43.78027996704259,15.061356247060871,58.84163621410346,1,1,79,198
27875561,27875561,71,1,0,163,away,0.28-0.28-0.44,0.29-0.29-0.42,15,10,1.0,1.0,0.20992797370792565,1050.3989626398782,1159.1750750151339,997.5800813323414,1094.9547777833295,-108.7761123752557,-97.37469645098815,11.401415924267553,52.8188813075368,64.22029723180435,117.03917853934115,1,1,79,198
27875581,27875581,61,11,0,163,draw,0.39-0.29-0.32,0.41-0.29-0.30,15,10,1.0,1.0,0.1294239280099271,1092.98149872688,1119.4984026216296,1031.8133079039703,1044.1085197248128,-26.516903894749476,-12.295211820842496,14.22169207390698,61.168190822909764,75.38988289681674,136.5580737197265,1,1,79,198
27875601,27875601,51,21,0,163,away,0.18-0.24-0.57,0.18-0.24-0.58,15,10,1.0,1.0,0.10216791310338708,911.5765233468643,1110.7283518591173,937.8926752000713,1144.3794299997578,-199.15182851225302,-206.48675479968654,7.334926287433518,-26.316151853206975,-33.65107814064049,59.96722999384747,1,1,79,198
27875621,27875621,41,31,0,163,away,0.15-0.22-0.63,0.20-0.26-0.54,15,10,1.0,1.0,0.12673780072536064,958.5787338326736,1195.2877183435462,993.8352323670348,1170.4549005036185,-236.7089845108726,-176.61966813658375,60.08931637428884,-35.256498534361185,24.832817839927657,60.08931637428884,1,1,79,198
27875702,27875702,101,71,0,164,draw,0.28-0.28-0.43,0.38-0.29-0.33,15,10,1.0,1.0,0.12628073206187546,946.1380912504387,1051.73908375539,956.704787349634,990.4548319596116,-105.60099250495136,-33.750044609977635,71.85094789497373,-10.56669609919527,61.28425179577846,71.85094789497373,1,1,79,198
27875722,27875722,111,81,0,164,away,0.43-0.29-0.29,0.37-0.29-0.34,15,10,1.0,1.0,0.2874388122436027,845.0156463058536,845.0896922461044,814.7540332856904,853.0843711982923,-0.07404594025081224,-38.33033791260186,38.25629197235105,30.261613020163168,-7.994678952187883,38.25629197235105,1,1,79,198
27875742,27875742,121,91,0,164,home,0.33-0.29-0.38,0.40-0.29-0.31,15,10,1.0,1.0,0.22985957901413265,990.3509292148397,1057.153663471321,1096.764099434999,1115.4773706265705,-66.80273425648124,-18.713271191571494,48.08946306490975,-106.41317022015937,-58.32370715524962,164.736877375409,1,1,79,198
27876070,27876070,21,41,0,168,away,0.66-0.21-0.13,0.68-0.19-0.12,15,10,1.0,1.0,0.6185227425846846,1109.2816081610035,948.0112834973453,1155.0817994727408,976.8711847738293,161.27032466365824,178.2106146989115,16.94029003525327,-45.80019131173731,-28.859901276484038,74.66009258822135,1,1,79,198
27876080,27876080,11,51,0,168,home,0.74-0.16-0.09,0.62-0.23-0.16,15,10,1.0,1.0,0.08543536247765285,1122.7673086216928,894.2998387601723,1062.0410091453944,932.0973115693733,228.4674698615205,129.943697576021,98.52377228549949,60.726299476298436,-37.797472809201054,98.52377228549949,1,1,79,198
27876090,27876090,1,61,0,168,draw,0.52-0.26-0.22,0.55-0.25-0.20,15,10,1.0,1.0,0.17013374661566985,1157.6619534386866,1095.7355715925744,1110.286275357424,1027.8953654085462,61.926381846112236,82.39090994887783,20.4645281027656,47.37567808126255,67.84020618402815,115.2158842652907,1,1,79,198
27876162,27876162,61,101,0,169,home,0.65-0.21-0.14,0.52-0.26-0.22,15,10,1.0,1.0,0.13869363090971867,1091.675824409453,942.0063425134712,1031.1660782589977,967.6461364529351,149.6694818959819,63.51994180606255,86.14954008991936,60.509746150455385,-25.63979393946397,86.14954008991936,1,1,79,198
27876182,27876182,71,111,0,169,home,0.70-0.19-0.12,0.67-0.20-0.13,15,10,1.0,1.0,0.06333126023281971,1029.514454095013,841.120840547567,988.8454840387193,821.8338786382735,188.39361354744597,167.01160540044577,21.382008147000192,40.66897005629369,19.286961909293495,59.95593196558718,1,1,79,198
27876202,27876202,81,121,0,169,away,0.23-0.27-0.50,0.17-0.23-0.60,15,10,1.0,1.0,0.09380993936385376,842.3751386530887,994.3661576543916,883.7038162583231,1101.5206772303704,-151.9910190013029,-217.81686097204738,65.82584197074448,-41.32867760523436,-107.15451957597884,148.4831971812132,1,1,79,198
27876221,27876221,91,131,0,169,home,0.72-0.17-0.10,0.75-0.16-0.09,15,10,1.0,1.0,0.03520326336812851,1055.5839623745171,847.6595858946007,1102.7567021693685,869.0134309815865,207.92437647991642,233.74327118778206,25.81889470786564,-47.172739794851395,-21.353845086985757,68.52658488183715,1,1,79,198
27876561,27876561,51,1,0,173,away,0.12-0.19-0.69,0.19-0.25-0.56,15,10,1.0,1.0,0.11258545580282904,896.7072480548833,1177.541550595344,919.1482799015753,1112.4145026467338,-280.8343025404607,-193.26622274515853,87.5680797953022,-22.441031846692,65.1270479486102,87.5680797953022,1,1,79,198
27876581,27876581,41,11,0,173,away,0.21-0.26-0.54,0.34-0.29-0.37,15,10,1.0,1.0,0.2538402165783655,949.5890785847513,1123.5628629241894,998.4527706386128,1061.2998316632577,-173.9737843394381,-62.84706102464486,111.12672331479325,-48.86369205386154,62.26303126093171,111.12672331479325,1,1,79,198
27876601,27876601,31,21,0,173,home,0.57-0.24-0.18,0.49-0.27-0.24,15,10,1.0,1.0,0.1573334212852915,1208.1113377849674,1108.6191546887537,1197.2708941171518,1152.766915932712,99.4921830962137,44.5039781844398,54.98820491177389,10.840443667815634,-44.14776124395826,54.98820491177389,1,1,79,198
27876686,27876686,101,51,0,174,away,0.51-0.27-0.23,0.51-0.27-0.22,15,10,1.0,1.0,0.4316691465390644,944.4040839003568,889.6831200050693,971.2293790150148,914.0102383545797,54.72096389528747,57.21914066043519,2.4981767651477185,-26.825295114658047,-24.32711834951033,51.152413464168376,1,1,79,198
27876696,27876696,111,61,0,174,draw,0.17-0.23-0.60,0.18-0.24-0.57,15,10,1.0,1.0,0.1810168877962957,869.2586937063843,1086.0589888047346,838.5986764544882,1037.6920068191964,-216.80029509835026,-199.0933303647082,17.706964733642053,30.66001725189608,48.36698198553813,79.02699923743421,1,1,79,198
27876706,27876706,121,71,0,174,away,0.37-0.29-0.34,0.56-0.25-0.19,15,10,1.0,1.0,0.4844420358214789,988.1393849004448,1025.8386012617698,1094.4596845449273,1003.8244031978844,-37.69921636132494,90.6352813470429,52.93606498571796,-106.32029964448247,22.014198063885374,128.33449770836785,1,1,79,198
27876722,27876722,131,81,0,174,home,0.41-0.29-0.30,0.38-0.29-0.33,15,10,1.0,1.0,0.242167554673684,838.2331223721336,847.8483611327721,868.0472754990608,896.3369576001372,-9.615238760638476,-28.289682101076437,18.67444334043796,-29.81415312692718,-48.48859646736514,78.30274959429232,1,1,79,198
27876742,27876742,141,91,0,174,draw,0.62-0.22-0.15,0.55-0.25-0.20,15,10,1.0,1.0,0.16978018233881806,1181.112516212102,1047.0074868905085,1173.6415269289846,1091.8170983901775,134.10502932159352,81.82442853880707,52.28060078278645,7.470989283117433,-44.80961149966902,52.28060078278645,1,1,79,198
27877070,27877070,11,31,0,178,away,0.27-0.28-0.45,0.25-0.28-0.47,15,10,1.0,1.0,0.1720017463382364,1107.5603722600695,1223.4141110764078,1077.3826456789495,1207.9034249110287,-115.85373881633836,-130.52077923207912,14.667040415740757,30.17772658111994,15.510686165379184,45.688412746499125,1,1,79,198
27877080,27877080,1,41,0,178,home,0.75-0.16-0.09,0.63-0.22-0.15,15,10,1.0,1.0,0.07908758304606546,1173.0445454990142,940.34900905105,1110.1553464405283,970.4090313718233,232.6955364479643,139.74631506870503,92.94922137925926,62.88919905848593,-30.060022320773328,92.94922137925926,1,1,79,198
