,Unnamed: 0,HomeTeam,AwayTeam,Season,Round,Result,TrueForecast,CalculatedForecast,ELO_Rating_K,Variance,Density,RPS,HomeRating,AwayRating,Home_elo_rating,Away_elo_rating
14321,14321,0,83,0,315,home,0.47-0.28-0.25,0.50-0.27-0.23,15,0,0.4526130653266332,0.15255078902720026,1004.8996127139699,972.2262031374228,1011.9785401760167,962.7399600197957
14508,14508,0,79,0,319,away,0.13-0.20-0.66,0.27-0.28-0.44,15,0,0.4526130653266332,0.19290760119844289,1000.949628096648,1264.8009543117128,1033.1592729688905,1144.942661776955
14605,14605,0,77,0,321,draw,0.52-0.26-0.22,0.35-0.29-0.35,15,0,0.4526130653266332,0.12555945399205987,996.7699167129293,933.3291476043393,1026.3434650600643,1076.3591707061867
14801,14801,0,73,0,325,away,0.33-0.29-0.38,0.47-0.28-0.25,15,0,0.4526130653266332,0.3937348266771674,1005.6893237981723,1074.8492991667235,1022.98174369246,989.9911840234132
14897,14897,0,71,0,327,away,0.32-0.29-0.39,0.37-0.29-0.34,15,0,0.4526130653266332,0.2855472035723391,999.9594947029148,1075.5786075746232,1013.1251470597801,1052.8015194478571
14984,14984,0,69,0,329,away,0.29-0.29-0.42,0.28-0.28-0.44,15,0,0.4526130653266332,0.19592239563007968,999.6921082904724,1096.830145458972,1002.085271009666,1111.2659135239298
15242,15242,0,63,0,335,home,0.51-0.27-0.23,0.42-0.29-0.29,15,0,0.4526130653266332,0.21131782426061554,1002.7371376203167,949.334662782744,992.387454941332,996.1603256468344
15414,15414,0,59,0,339,draw,0.77-0.15-0.08,0.63-0.22-0.15,15,0,0.4526130653266332,0.2121373097439573,1009.5539569974184,754.265832668005,989.4266098158713,847.6115959875519
15694,15694,0,53,0,345,home,0.39-0.29-0.32,0.35-0.29-0.36,15,0,0.4526130653266332,0.2776106015235795,992.490380936779,1019.0184761675937,995.9342065840241,1050.5689807851397
15861,15861,0,49,0,349,draw,0.56-0.25-0.19,0.57-0.24-0.18,15,0,0.4526130653266332,0.18078882086849946,1002.861764139638,915.1271507093061,1002.8876249224684,904.1315402587967
15955,15955,0,47,0,351,home,0.18-0.24-0.57,0.28-0.28-0.44,15,0,0.4526130653266332,0.35836086139622314,1004.5399231950121,1202.3963548232325,999.336787266114,1109.3251095573198
